Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 30 2012,Thu,Arizona State,63,,Northern Arizona,6,
2,1,Aug 30 2012,Thu,Ball State,37,,Eastern Michigan,26,
3,1,Aug 30 2012,Thu,Brigham Young,30,,Washington State,6,
4,1,Aug 30 2012,Thu,Central Florida,56,@,Akron,14,
5,1,Aug 30 2012,Thu,Central Michigan,38,,Southeast Missouri State,27,
6,1,Aug 30 2012,Thu,Connecticut,37,,Massachusetts,0,
7,1,Aug 30 2012,Thu,Eastern Washington,20,@,Idaho,3,
8,1,Aug 30 2012,Thu,Kent State,41,,Towson,21,
9,1,Aug 30 2012,Thu,McNeese State,27,@,Middle Tennessee State,21,
10,1,Aug 30 2012,Thu,Minnesota,30,@,Nevada-Las Vegas,27,
11,1,Aug 30 2012,Thu,New Mexico State,49,,Sacramento State,19,
12,1,Aug 30 2012,Thu,(9) South Carolina,17,@,Vanderbilt,13,
13,1,Aug 30 2012,Thu,UCLA,49,@,Rice,24,
14,1,Aug 30 2012,Thu,Utah,41,,Northern Colorado,0,
15,1,Aug 30 2012,Thu,Utah State,34,,Southern Utah,3,
16,1,Aug 31 2012,Fri,Florida Atlantic,7,,Wagner,3,
17,1,Aug 31 2012,Fri,(13) Michigan State,17,,(24) Boise State,13,
18,1,Aug 31 2012,Fri,(21) Stanford,20,,San Jose State,17,
19,1,Aug 31 2012,Fri,Temple,41,,Villanova,10,
20,1,Aug 31 2012,Fri,Tennessee,35,,North Carolina State,21,
21,1,Sep 1 2012,Sat,Air Force,49,,Idaho State,21,
22,1,Sep 1 2012,Sat,(2) Alabama,41,,(8) Michigan,14,
23,1,Sep 1 2012,Sat,Arizona,24,,Toledo,17,
24,1,Sep 1 2012,Sat,(10) Arkansas,49,,Jacksonville State,24,
25,1,Sep 1 2012,Sat,(14) Clemson,26,,Auburn,19,
26,1,Sep 1 2012,Sat,Colorado State,22,,Colorado,17,
27,1,Sep 1 2012,Sat,Duke,46,,Florida International,26,
28,1,Sep 1 2012,Sat,East Carolina,35,,Appalachian State,13,
29,1,Sep 1 2012,Sat,(23) Florida,27,,Bowling Green State,14,
30,1,Sep 1 2012,Sat,(7) Florida State,69,,Murray State,3,
31,1,Sep 1 2012,Sat,Fresno State,37,,Weber State,10,
32,1,Sep 1 2012,Sat,(6) Georgia,45,,Buffalo,23,
33,1,Sep 1 2012,Sat,Illinois,24,,Western Michigan,7,
34,1,Sep 1 2012,Sat,Indiana,24,,Indiana State,17,
35,1,Sep 1 2012,Sat,Iowa,18,@,Northern Illinois,17,
36,1,Sep 1 2012,Sat,Iowa State,38,,Tulsa,23,
37,1,Sep 1 2012,Sat,Kansas,31,,South Dakota State,17,
38,1,Sep 1 2012,Sat,(22) Kansas State,51,,Missouri State,9,
39,1,Sep 1 2012,Sat,Louisiana,40,,Lamar,0,
40,1,Sep 1 2012,Sat,(3) Louisiana State,41,,North Texas,14,
41,1,Sep 1 2012,Sat,Maryland,7,,William & Mary,6,
42,1,Sep 1 2012,Sat,Miami (FL),41,@,Boston College,32,
43,1,Sep 1 2012,Sat,Mississippi,49,,Central Arkansas,27,
44,1,Sep 1 2012,Sat,Mississippi State,56,,Jackson State,9,
45,1,Sep 1 2012,Sat,Missouri,62,,Southeastern Louisiana,10,
46,1,Sep 1 2012,Sat,(17) Nebraska,49,,Southern Mississippi,20,
47,1,Sep 1 2012,Sat,Nevada,31,@,California,24,
48,1,Sep 1 2012,Sat,New Mexico,66,,Southern,21,
49,1,Sep 1 2012,Sat,North Carolina,62,,Elon,0,
50,1,Sep 1 2012,Sat,Northwestern,42,@,Syracuse,41,
51,1,Sep 1 2012,Sat,Notre Dame,50,,Navy,10,
52,1,Sep 1 2012,Sat,Ohio,24,@,Penn State,14,
53,1,Sep 1 2012,Sat,(18) Ohio State,56,,Miami (OH),10,
54,1,Sep 1 2012,Sat,(4) Oklahoma,24,@,Texas-El Paso,7,
55,1,Sep 1 2012,Sat,(19) Oklahoma State,84,,Savannah State,0,
56,1,Sep 1 2012,Sat,(5) Oregon,57,,Arkansas State,34,
57,1,Sep 1 2012,Sat,Purdue,48,,Eastern Kentucky,6,
58,1,Sep 1 2012,Sat,Rutgers,24,@,Tulane,12,
59,1,Sep 1 2012,Sat,South Florida,34,,Chattanooga,13,
60,1,Sep 1 2012,Sat,(1) Southern California,49,,Hawaii,10,
61,1,Sep 1 2012,Sat,Tennessee-Martin,20,@,Memphis,17,
62,1,Sep 1 2012,Sat,(15) Texas,37,,Wyoming,17,
63,1,Sep 1 2012,Sat,Texas State,30,@,Houston,13,
