Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
16,2,Aug 31 2017,7:30 PM,Thu,(10) Oklahoma State,59,,Tulsa,24,,Boone Pickens Stadium - Stillwater Oklahoma
17,2,Aug 31 2017,7:00 PM,Thu,Tennessee State,17,@,Georgia State,10,,Georgia State Stadium - Atlanta Georgia
18,2,Aug 31 2017,7:00 PM,Thu,Toledo,47,,Elon,13,,Glass Bowl - Toledo Ohio
19,2,Aug 31 2017,7:30 PM,Thu,Utah,37,,North Dakota,16,,Rice-Eccles Stadium - Salt Lake City Utah
20,2,Aug 31 2017,6:30 PM,Thu,Wake Forest,51,,Presbyterian,7,,BB&T Field - Winston-Salem North Carolina
21,2,Sep 1 2017,6:00 PM,Fri,Army,64,,Fordham,6,,Michie Stadium - West Point New York
22,2,Sep 1 2017,9:30 PM,Fri,Boston College,23,@,Northern Illinois,20,,Huskie Stadium - DeKalb Illinois
23,2,Sep 1 2017,8:00 PM,Fri,Colorado,17,,Colorado State,3,,Sports Authority Field - Denver Colorado
24,2,Sep 1 2017,6:30 PM,Fri,Eastern Michigan,24,,Charlotte,7,,Rynearson Stadium - Ypsilanti Michigan
25,2,Sep 1 2017,8:00 PM,Fri,Navy,42,@,Florida Atlantic,19,,FAU Football Stadium - Boca Raton Florida
26,2,Sep 1 2017,7:00 PM,Fri,Syracuse,50,,Central Connecticut State,7,,Carrier Dome - Syracuse New York
27,2,Sep 1 2017,8:00 PM,Fri,(8) Washington,30,@,Rutgers,14,,High Point Solutions Stadium - Piscataway New Jersey
28,2,Sep 1 2017,9:00 PM,Fri,(9) Wisconsin,59,,Utah State,10,,Camp Randall Stadium - Madison Wisconsin
29,2,Sep 2 2017,2:00 PM,Sat,Air Force,62,,Virginia Military Institute,0,,Falcon Stadium - Colorado Springs Colorado
30,2,Sep 2 2017,8:00 PM,Sat,(1) Alabama,24,,(3) Florida State,7,,Mercedes-Benz Stadium - Atlanta Georgia
31,2,Sep 2 2017,3:30 PM,Sat,Alabama-Birmingham,38,,Alabama A&M,7,,Legion Field - Birmingham Alabama
32,2,Sep 2 2017,11:00 PM,Sat,Arizona,62,,Northern Arizona,24,,Arizona Stadium - Tucson Arizona
33,2,Sep 2 2017,7:30 PM,Sat,(12) Auburn,41,,Georgia Southern,7,,Jordan-Hare Stadium - Auburn Alabama
34,2,Sep 2 2017,3:45 PM,Sat,Boise State,24,,Troy,13,,Albertsons Stadium - Boise Idaho
35,2,Sep 2 2017,12:20 PM,Sat,California,35,@,North Carolina,30,,Kenan Memorial Stadium - Chapel Hill North Carolina
36,2,Sep 2 2017,12:00 PM,Sat,Central Florida,61,,Florida International,17,,
37,2,Sep 2 2017,12:00 PM,Sat,(5) Clemson,56,,Kent State,3,,Clemson Memorial Stadium - Clemson South Carolina
38,2,Sep 2 2017,7:00 PM,Sat,Coastal Carolina,38,,Massachusetts,28,,Brooks Stadium - Conway South Carolina
39,2,Sep 2 2017,6:00 PM,Sat,Duke,60,,North Carolina Central,7,,Wallace Wade Stadium - Durham North Carolina
40,2,Sep 2 2017,10:00 PM,Sat,Fresno State,66,,Incarnate Word,0,,Bulldog Stadium - Fresno California
41,2,Sep 2 2017,6:15 PM,Sat,(15) Georgia,31,,Appalachian State,10,,Sanford Stadium - Athens Georgia
42,2,Sep 2 2017,11:59 PM,Sat,Hawaii,41,,Western Carolina,18,,Aloha Stadium - Honolulu Hawaii
43,2,Sep 2 2017,9:00 PM,Sat,Howard,43,@,Nevada-Las Vegas,40,,Sam Boyd Stadium - Las Vegas Nevada
44,2,Sep 2 2017,12:00 PM,Sat,Illinois,24,,Ball State,21,,Memorial Stadium - Champaign Illinois
45,2,Sep 2 2017,12:00 PM,Sat,Iowa,24,,Wyoming,3,,Kinnick Stadium - Iowa City Iowa
46,2,Sep 2 2017,8:00 PM,Sat,Iowa State,42,,Northern Iowa,24,,Jack Trice Stadium - Ames Iowa
47,2,Sep 2 2017,6:00 PM,Sat,James Madison,34,@,East Carolina,14,,Dowdy-Ficklen Stadium - Greenville North Carolina
48,2,Sep 2 2017,7:00 PM,Sat,Kansas,38,,Southeast Missouri State,16,,Memorial Stadium - Lawrence Kansas
49,2,Sep 2 2017,7:10 PM,Sat,(20) Kansas State,55,,Central Arkansas,19,,Bill Snyder Family Stadium - Manhattan Kansas
50,2,Sep 2 2017,4:00 PM,Sat,Kentucky,24,@,Southern Mississippi,17,,M. M. Roberts Stadium - Hattiesburg Mississippi
51,2,Sep 2 2017,7:00 PM,Sat,Liberty,48,@,Baylor,45,,McLane Stadium - Waco Texas
52,2,Sep 2 2017,7:00 PM,Sat,Louisiana,51,,Southeastern Louisiana,48,,Cajun Field - Lafayette Louisiana
53,2,Sep 2 2017,9:30 PM,Sat,(13) Louisiana State,27,,Brigham Young,0,,Mercedes-Benz Superdome - New Orleans Louisiana
54,2,Sep 2 2017,7:00 PM,Sat,Louisiana Tech,52,,Northwestern State,24,,Joe Aillet Stadium - Ruston Louisiana
55,2,Sep 2 2017,7:30 PM,Sat,(16) Louisville,35,,Purdue,28,,Lucas Oil Stadium - Indianapolis Indiana
56,2,Sep 2 2017,6:30 PM,Sat,Marshall,31,,Miami (OH),26,,Joan C. Edwards Stadium - Huntington West Virginia
57,2,Sep 2 2017,12:00 PM,Sat,Maryland,51,@,(23) Texas,41,,Darrell K Royal-Texas Memorial Stadium - Austin Texas
58,2,Sep 2 2017,12:30 PM,Sat,(18) Miami (FL),41,,Bethune-Cookman,13,,Hard Rock Stadium - Miami Gardens Florida
59,2,Sep 2 2017,3:30 PM,Sat,(11) Michigan,33,,(17) Florida,17,,AT&T Stadium - Arlington Texas
60,2,Sep 2 2017,12:00 PM,Sat,Michigan State,35,,Bowling Green State,10,,Spartan Stadium - East Lansing Michigan
61,2,Sep 2 2017,7:30 PM,Sat,Mississippi,47,,South Alabama,27,,Vaught-Hemingway Stadium - Oxford Mississippi
62,2,Sep 2 2017,4:00 PM,Sat,Mississippi State,49,,Charleston Southern,0,,Davis Wade Stadium - Starkville Mississippi
63,2,Sep 2 2017,12:00 PM,Sat,Missouri,72,,Missouri State,43,,Memorial Stadium/Faurot Field - Columbia Missouri
64,2,Sep 2 2017,8:00 PM,Sat,Nebraska,43,,Arkansas State,36,,Memorial Stadium - Lincoln Nebraska
65,2,Sep 2 2017,8:00 PM,Sat,New Mexico,38,,Abilene Christian,14,,Dreamstyle Stadium - Albuquerque New Mexico
66,2,Sep 2 2017,7:00 PM,Sat,North Texas,59,,Lamar,14,,Apogee Stadium - Denton Texas
67,2,Sep 2 2017,3:30 PM,Sat,Northwestern,31,,Nevada,20,,Ryan Field - Evanston Illinois
68,2,Sep 2 2017,3:30 PM,Sat,Notre Dame,49,,Temple,16,,Notre Dame Stadium - South Bend Indiana
69,2,Sep 2 2017,7:00 PM,Sat,Ohio,59,,Hampton,0,,Peden Stadium - Athens Ohio
70,2,Sep 2 2017,3:30 PM,Sat,(7) Oklahoma,56,,Texas-El Paso,7,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
71,2,Sep 2 2017,6:00 PM,Sat,Old Dominion,31,,Albany,17,,S.B. Ballard Stadium - Norfolk Virginia
72,2,Sep 2 2017,8:15 PM,Sat,Oregon,77,,Southern Utah,21,,Autzen Stadium - Eugene Oregon
73,2,Sep 2 2017,2:00 PM,Sat,Oregon State,35,,Portland State,32,,Reser Stadium - Corvallis Oregon
74,2,Sep 2 2017,12:00 PM,Sat,(6) Penn State,52,,Akron,0,,Beaver Stadium - University Park Pennsylvania
75,2,Sep 2 2017,1:00 PM,Sat,Pittsburgh,28,,Youngstown State,21,,Heinz Field - Pittsburgh Pennsylvania
76,2,Sep 2 2017,8:30 PM,Sat,San Diego State,38,,California-Davis,17,,SDCCU Stadium - San Diego California
77,2,Sep 2 2017,7:30 PM,Sat,San Jose State,34,,Cal Poly,13,,CEFCU Stadium - San Jose California
78,2,Sep 2 2017,3:00 PM,Sat,South Carolina,35,,North Carolina State,28,,Bank of America Stadium - Charlotte North Carolina
79,2,Sep 2 2017,4:00 PM,Sat,(19) South Florida,31,,Stony Brook,17,,Raymond James Stadium - Tampa Florida
80,2,Sep 2 2017,5:15 PM,Sat,(4) Southern California,49,,Western Michigan,31,,Los Angeles Memorial Coliseum - Los Angeles California
81,2,Sep 2 2017,7:00 PM,Sat,Southern Methodist,58,,Stephen F. Austin,14,,Gerald J. Ford Stadium - Dallas Texas
82,2,Sep 2 2017,8:00 PM,Sat,Texas Christian,63,,Jackson State,0,,Amon G. Carter Stadium - Fort Worth Texas
83,2,Sep 2 2017,7:00 PM,Sat,Texas State,20,,Houston Baptist,11,,Bobcat Stadium - San Marcos Texas
84,2,Sep 2 2017,4:00 PM,Sat,Texas Tech,56,,Eastern Washington,10,,Jones AT&T Stadium - Lubbock Texas
85,2,Sep 2 2017,8:00 PM,Sat,Tulane,43,,Grambling State,14,,Yulman Stadium - New Orleans Louisiana
86,2,Sep 2 2017,8:00 PM,Sat,Vanderbilt,28,@,Middle Tennessee State,6,,Floyd Stadium - Murfreesboro Tennessee
87,2,Sep 2 2017,3:30 PM,Sat,Virginia,28,,William & Mary,10,,Scott Stadium - Charlottesville Virginia
88,2,Sep 2 2017,10:30 PM,Sat,(24) Washington State,31,,Montana State,0,,Martin Stadium - Pullman Washington
89,2,Sep 2 2017,7:00 PM,Sat,Western Kentucky,31,,Eastern Kentucky,17,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
90,2,Sep 3 2017,7:30 PM,Sun,UCLA,45,,Texas A&M,44,,Rose Bowl - Pasadena California
91,2,Sep 3 2017,7:30 PM,Sun,(21) Virginia Tech,31,,(22) West Virginia,24,,FedEx Field - Landover Maryland
92,2,Sep 4 2017,8:00 PM,Mon,(25) Tennessee,42,,Georgia Tech,41,,Mercedes-Benz Stadium - Atlanta Georgia
93,3,Sep 7 2017,8:00 PM,Thu,Utah State,51,,Idaho State,13,,Merlin Olsen Field at Maverik Stadium - Logan Utah
94,3,Sep 8 2017,7:00 PM,Fri,Florida International,17,,Alcorn State,10,,Legion Field - Birmingham Alabama
95,3,Sep 8 2017,8:00 PM,Fri,(11) Oklahoma State,44,@,South Alabama,7,,Ladd-Peebles Stadium - Mobile Alabama
96,3,Sep 8 2017,8:00 PM,Fri,Purdue,44,,Ohio,21,,Ross-Ade Stadium - West Lafayette Indiana
97,3,Sep 9 2017,6:30 PM,Sat,Akron,52,,Arkansas-Pine Bluff,3,,InfoCision Stadium - Akron Ohio
98,3,Sep 9 2017,3:30 PM,Sat,(1) Alabama,41,,Fresno State,10,,Bryant-Denny Stadium - Tuscaloosa Alabama
99,3,Sep 9 2017,3:30 PM,Sat,Appalachian State,54,,Savannah State,7,,Kidd Brewer Stadium - Boone North Carolina
100,3,Sep 9 2017,12:00 PM,Sat,Army,21,,Buffalo,17,,Michie Stadium - West Point New York
101,3,Sep 9 2017,3:00 PM,Sat,Ball State,51,,Alabama-Birmingham,31,,Scheumann Stadium - Muncie Indiana
102,3,Sep 9 2017,5:00 PM,Sat,California,33,,Weber State,20,,California Memorial Stadium - Berkeley California
103,3,Sep 9 2017,4:00 PM,Sat,Central Michigan,45,@,Kansas,27,,Memorial Stadium - Lawrence Kansas
104,3,Sep 9 2017,7:00 PM,Sat,(3) Clemson,14,,(13) Auburn,6,,Clemson Memorial Stadium - Clemson South Carolina
105,3,Sep 9 2017,2:00 PM,Sat,Colorado,37,,Texas State,3,,Folsom Field - Boulder Colorado
106,3,Sep 9 2017,3:30 PM,Sat,Colorado State,38,,Abilene Christian,10,,Sonny Lubick Field at Colorado State Stadium - Fort Collins Colorado
107,3,Sep 9 2017,12:00 PM,Sat,Duke,41,,Northwestern,17,,Wallace Wade Stadium - Durham North Carolina
108,3,Sep 9 2017,3:30 PM,Sat,Eastern Michigan,16,@,Rutgers,13,,High Point Solutions Stadium - Piscataway New Jersey
109,3,Sep 9 2017,7:30 PM,Sat,(15) Georgia,20,@,(24) Notre Dame,19,,Notre Dame Stadium - South Bend Indiana
110,3,Sep 9 2017,12:30 PM,Sat,Georgia Tech,37,,Jacksonville State,10,,Bobby Dodd Stadium - Atlanta Georgia
111,3,Sep 9 2017,10:30 PM,Sat,Houston,19,@,Arizona,16,,Arizona Stadium - Tucson Arizona
112,3,Sep 9 2017,8:00 PM,Sat,Illinois,20,,Western Kentucky,7,,Memorial Stadium - Champaign Illinois
113,3,Sep 9 2017,3:30 PM,Sat,Indiana,34,@,Virginia,17,,Scott Stadium - Charlottesville Virginia
114,3,Sep 9 2017,12:00 PM,Sat,Iowa,44,@,Iowa State,41,,Jack Trice Stadium - Ames Iowa
115,3,Sep 9 2017,12:00 PM,Sat,(19) Kansas State,55,,Charlotte,7,,Bill Snyder Family Stadium - Manhattan Kansas
116,3,Sep 9 2017,3:30 PM,Sat,Kent State,38,,Howard,31,,Dix Stadium - Kent Ohio
117,3,Sep 9 2017,12:00 PM,Sat,Kentucky,27,,Eastern Kentucky,16,,Kroger Field - Lexington Kentucky
118,3,Sep 9 2017,7:30 PM,Sat,(12) Louisiana State,45,,Chattanooga,10,,Tiger Stadium - Baton Rouge Louisiana
119,3,Sep 9 2017,12:00 PM,Sat,(17) Louisville,47,@,North Carolina,35,,Kenan Memorial Stadium - Chapel Hill North Carolina
120,3,Sep 9 2017,12:00 PM,Sat,Maryland,63,,Towson,17,,Capital One Field at Maryland Stadium - College Park Maryland
121,3,Sep 9 2017,3:30 PM,Sat,Miami (OH),31,,Austin Peay,10,,Fred Yager Stadium - Oxford Ohio
122,3,Sep 9 2017,12:00 PM,Sat,(8) Michigan,36,,Cincinnati,14,,Michigan Stadium - Ann Arbor Michigan
123,3,Sep 9 2017,3:30 PM,Sat,Michigan State,28,,Western Michigan,14,,Spartan Stadium - East Lansing Michigan
124,3,Sep 9 2017,3:30 PM,Sat,Middle Tennessee State,30,@,Syracuse,23,,Carrier Dome - Syracuse New York
125,3,Sep 9 2017,10:00 PM,Sat,Minnesota,48,@,Oregon State,14,,Reser Stadium - Corvallis Oregon
126,3,Sep 9 2017,12:00 PM,Sat,Mississippi,45,,Tennessee-Martin,23,,Vaught-Hemingway Stadium - Oxford Mississippi
127,3,Sep 9 2017,7:30 PM,Sat,Mississippi State,57,@,Louisiana Tech,21,,Joe Aillet Stadium - Ruston Louisiana
128,3,Sep 9 2017,3:30 PM,Sat,Navy,23,,Tulane,21,,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
129,3,Sep 9 2017,7:00 PM,Sat,Nevada-Las Vegas,44,@,Idaho,16,,Kibbie-Asui Activity Center - Moscow Idaho
130,3,Sep 9 2017,4:00 PM,Sat,New Hampshire,22,@,Georgia Southern,12,,Legion Field - Birmingham Alabama
131,3,Sep 9 2017,8:00 PM,Sat,New Mexico State,30,@,New Mexico,28,,Dreamstyle Stadium - Albuquerque New Mexico
132,3,Sep 9 2017,6:00 PM,Sat,North Carolina State,37,,Marshall,20,,Carter-Finley Stadium - Raleigh North Carolina
133,3,Sep 9 2017,3:30 PM,Sat,Northern Illinois,38,,Eastern Illinois,10,,Huskie Stadium - DeKalb Illinois
134,3,Sep 9 2017,7:30 PM,Sat,(5) Oklahoma,31,@,(2) Ohio State,16,,Ohio Stadium - Columbus Ohio
135,3,Sep 9 2017,3:30 PM,Sat,Old Dominion,17,@,Massachusetts,7,,Warren McGuirk Alumni Stadium - Amherst Massachusetts
136,3,Sep 9 2017,4:30 PM,Sat,Oregon,42,,Nebraska,35,,Autzen Stadium - Eugene Oregon
137,3,Sep 9 2017,3:30 PM,Sat,(4) Penn State,33,,Pittsburgh,14,,Beaver Stadium - University Park Pennsylvania
138,3,Sep 9 2017,8:00 PM,Sat,Rice,31,@,Texas-El Paso,14,,Sun Bowl - El Paso Texas
139,3,Sep 9 2017,11:00 PM,Sat,San Diego State,30,@,Arizona State,20,,Sun Devil Stadium - Tempe Arizona
140,3,Sep 9 2017,7:00 PM,Sat,South Carolina,31,@,Missouri,13,,Memorial Stadium/Faurot Field - Columbia Missouri
141,3,Sep 9 2017,6:00 PM,Sat,South Dakota,35,@,Bowling Green State,27,,Doyt Perry Stadium - Bowling Green Ohio
142,3,Sep 9 2017,8:30 PM,Sat,(6) Southern California,42,,(14) Stanford,24,,Los Angeles Memorial Coliseum - Los Angeles California
143,3,Sep 9 2017,7:00 PM,Sat,Southern Methodist,54,,North Texas,32,,Gerald J. Ford Stadium - Dallas Texas
144,3,Sep 9 2017,7:00 PM,Sat,Southern Mississippi,45,,Southern,0,,M. M. Roberts Stadium - Hattiesburg Mississippi
145,3,Sep 9 2017,3:30 PM,Sat,Temple,16,,Villanova,13,,Lincoln Financial Field - Philadelphia Pennsylvania
146,3,Sep 9 2017,4:00 PM,Sat,(25) Tennessee,42,,Indiana State,7,,Neyland Stadium - Knoxville Tennessee
147,3,Sep 9 2017,3:30 PM,Sat,Texas,56,,San Jose State,0,,Darrell K Royal-Texas Memorial Stadium - Austin Texas
148,3,Sep 9 2017,7:00 PM,Sat,Texas A&M,24,,Nicholls State,14,,Kyle Field - College Station Texas
149,3,Sep 9 2017,3:30 PM,Sat,(23) Texas Christian,28,@,Arkansas,7,,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
150,3,Sep 9 2017,8:00 PM,Sat,Texas-San Antonio,17,@,Baylor,10,,McLane Stadium - Waco Texas
151,3,Sep 9 2017,7:00 PM,Sat,Toledo,37,@,Nevada,24,,MacKay Stadium - Reno Nevada
152,3,Sep 9 2017,6:00 PM,Sat,Troy,34,,Alabama State,7,,Veterans Memorial Stadium - Troy Alabama
153,3,Sep 9 2017,4:00 PM,Sat,Tulsa,66,,Louisiana,42,,H.A. Chapman Stadium - Tulsa Oklahoma
154,3,Sep 9 2017,5:00 PM,Sat,UCLA,56,,Hawaii,23,,Rose Bowl - Pasadena California
155,3,Sep 9 2017,10:15 PM,Sat,Utah,19,@,Brigham Young,13,,LaVell Edwards Stadium - Provo Utah
156,3,Sep 9 2017,4:00 PM,Sat,Vanderbilt,42,,Alabama A&M,0,,Vanderbilt Stadium - Nashville Tennessee
157,3,Sep 9 2017,3:30 PM,Sat,(18) Virginia Tech,27,,Delaware,0,,Lane Stadium - Blacksburg Virginia
158,3,Sep 9 2017,1:00 PM,Sat,Wake Forest,34,@,Boston College,10,,Alumni Stadium - Chestnut Hill Massachusetts
159,3,Sep 9 2017,8:00 PM,Sat,(7) Washington,63,,Montana,7,,Husky Stadium - Seattle Washington
160,3,Sep 9 2017,10:30 PM,Sat,(20) Washington State,47,,Boise State,44,,Martin Stadium - Pullman Washington
161,3,Sep 9 2017,12:00 PM,Sat,West Virginia,56,,East Carolina,20,,Milan Puskar Stadium - Morgantown West Virginia
162,3,Sep 9 2017,12:00 PM,Sat,(9) Wisconsin,31,,Florida Atlantic,14,,Camp Randall Stadium - Madison Wisconsin
163,3,Sep 9 2017,4:00 PM,Sat,Wyoming,27,,Gardner-Webb,0,,Jonah Field War Memorial Stadium - Laramie Wyoming
164,4,Sep 14 2017,8:00 PM,Thu,Boise State,28,,New Mexico,14,,Albertsons Stadium - Boise Idaho
165,4,Sep 15 2017,10:15 PM,Fri,Arizona,63,@,Texas-El Paso,16,,Sun Bowl - El Paso Texas
166,4,Sep 15 2017,7:00 PM,Fri,(22) South Florida,47,,Illinois,23,,Raymond James Stadium - Tampa Florida
167,4,Sep 15 2017,7:00 PM,Fri,Temple,29,,Massachusetts,21,,Lincoln Financial Field - Philadelphia Pennsylvania
168,4,Sep 16 2017,7:00 PM,Sat,(1) Alabama,41,,Colorado State,23,,Bryant-Denny Stadium - Tuscaloosa Alabama
169,4,Sep 16 2017,1:00 PM,Sat,Alabama-Birmingham,30,,Coastal Carolina,23,,Legion Field - Birmingham Alabama
170,4,Sep 16 2017,7:00 PM,Sat,Appalachian State,20,@,Texas State,13,,Bobcat Stadium - San Marcos Texas
171,4,Sep 16 2017,7:00 PM,Sat,Arkansas State,48,,Arkansas-Pine Bluff,3,,Centennial Bank Stadium - Jonesboro Arkansas
172,4,Sep 16 2017,4:00 PM,Sat,(15) Auburn,24,,Mercer,10,,Jordan-Hare Stadium - Auburn Alabama
173,4,Sep 16 2017,3:00 PM,Sat,Ball State,28,,Tennessee Tech,13,,Scheumann Stadium - Muncie Indiana
174,4,Sep 16 2017,6:00 PM,Sat,Buffalo,33,,Colgate,10,,UB Stadium - Buffalo New York
175,4,Sep 16 2017,10:30 PM,Sat,California,27,,Mississippi,16,,California Memorial Stadium - Berkeley California
176,4,Sep 16 2017,8:00 PM,Sat,Cincinnati,21,@,Miami (OH),17,,Fred Yager Stadium - Oxford Ohio
177,4,Sep 16 2017,8:00 PM,Sat,(3) Clemson,47,@,(14) Louisville,21,,Papa John's Cardinal Stadium - Louisville Kentucky
178,4,Sep 16 2017,2:00 PM,Sat,Colorado,41,,Northern Colorado,21,,Folsom Field - Boulder Colorado
179,4,Sep 16 2017,12:30 PM,Sat,Duke,34,,Baylor,20,,Wallace Wade Stadium - Durham North Carolina
180,4,Sep 16 2017,3:30 PM,Sat,(24) Florida,26,,(23) Tennessee,20,,Ben Hill Griffin Stadium - Gainesville Florida
181,4,Sep 16 2017,6:30 PM,Sat,Florida Atlantic,45,,Bethune-Cookman,0,,FAU Football Stadium - Boca Raton Florida
182,4,Sep 16 2017,7:30 PM,Sat,(13) Georgia,42,,Samford,14,,Sanford Stadium - Athens Georgia
183,4,Sep 16 2017,8:00 PM,Sat,Houston,38,,Rice,3,,TDECU Stadium - Houston Texas
184,4,Sep 16 2017,7:00 PM,Sat,Idaho State,30,@,Nevada,28,,MacKay Stadium - Reno Nevada
185,4,Sep 16 2017,3:30 PM,Sat,Iowa,31,,North Texas,14,,Kinnick Stadium - Iowa City Iowa
186,4,Sep 16 2017,12:00 PM,Sat,Iowa State,41,@,Akron,14,,InfoCision Stadium - Akron Ohio
187,4,Sep 16 2017,7:30 PM,Sat,Kentucky,23,@,South Carolina,13,,Williams-Brice Stadium - Columbia South Carolina
188,4,Sep 16 2017,7:00 PM,Sat,Louisiana Tech,23,@,Western Kentucky,22,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
189,4,Sep 16 2017,6:30 PM,Sat,Marshall,21,,Kent State,0,,Joan C. Edwards Stadium - Huntington West Virginia
190,4,Sep 16 2017,12:00 PM,Sat,Memphis,48,,(25) UCLA,45,,Liberty Bowl Memorial Stadium - Memphis Tennessee
191,4,Sep 16 2017,12:00 PM,Sat,(7) Michigan,29,,Air Force,13,,Michigan Stadium - Ann Arbor Michigan
192,4,Sep 16 2017,3:30 PM,Sat,Minnesota,34,,Middle Tennessee State,3,,TCF Bank Stadium - Minneapolis Minnesota
193,4,Sep 16 2017,7:00 PM,Sat,Mississippi State,37,,(12) Louisiana State,7,,Davis Wade Stadium - Starkville Mississippi
194,4,Sep 16 2017,3:30 PM,Sat,North Carolina,53,@,Old Dominion,23,,S.B. Ballard Stadium - Norfolk Virginia
195,4,Sep 16 2017,6:00 PM,Sat,North Carolina A&T,35,@,Charlotte,31,,Jerry Richardson Stadium - Charlotte North Carolina
196,4,Sep 16 2017,12:20 PM,Sat,North Carolina State,49,,Furman,16,,Carter-Finley Stadium - Raleigh North Carolina
197,4,Sep 16 2017,12:00 PM,Sat,Northern Illinois,21,@,Nebraska,17,,Memorial Stadium - Lincoln Nebraska
198,4,Sep 16 2017,7:30 PM,Sat,Northwestern,49,,Bowling Green State,7,,Ryan Field - Evanston Illinois
199,4,Sep 16 2017,3:30 PM,Sat,Notre Dame,49,@,Boston College,20,,Alumni Stadium - Chestnut Hill Massachusetts
200,4,Sep 16 2017,12:00 PM,Sat,Ohio,42,,Kansas,30,,Peden Stadium - Athens Ohio
201,4,Sep 16 2017,4:30 PM,Sat,(8) Ohio State,38,,Army,7,,Ohio Stadium - Columbus Ohio
202,4,Sep 16 2017,6:00 PM,Sat,(2) Oklahoma,56,,Tulane,14,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
203,4,Sep 16 2017,12:00 PM,Sat,(9) Oklahoma State,59,@,Pittsburgh,21,,Heinz Field - Pittsburgh Pennsylvania
204,4,Sep 16 2017,7:00 PM,Sat,Oregon,49,@,Wyoming,13,,Jonah Field War Memorial Stadium - Laramie Wyoming
205,4,Sep 16 2017,7:30 PM,Sat,(5) Penn State,56,,Georgia State,0,,Beaver Stadium - University Park Pennsylvania
206,4,Sep 16 2017,4:00 PM,Sat,Purdue,35,@,Missouri,3,,Memorial Stadium/Faurot Field - Columbia Missouri
207,4,Sep 16 2017,3:30 PM,Sat,Rutgers,65,,Morgan State,0,,High Point Solutions Stadium - Piscataway New Jersey
208,4,Sep 16 2017,10:30 PM,Sat,San Diego State,20,,(19) Stanford,17,,SDCCU Stadium - San Diego California
209,4,Sep 16 2017,7:00 PM,Sat,South Alabama,45,,Alabama A&M,0,,Ladd-Peebles Stadium - Mobile Alabama
210,4,Sep 16 2017,8:30 PM,Sat,(4) Southern California,27,,Texas,24,,Los Angeles Memorial Coliseum - Los Angeles California
211,4,Sep 16 2017,7:00 PM,Sat,Southern Mississippi,28,@,Louisiana-Monroe,17,,Malone Stadium - Monroe Louisiana
212,4,Sep 16 2017,3:30 PM,Sat,Syracuse,41,,Central Michigan,17,,Carrier Dome - Syracuse New York
213,4,Sep 16 2017,12:00 PM,Sat,Texas A&M,45,,Louisiana,21,,Kyle Field - College Station Texas
214,4,Sep 16 2017,3:30 PM,Sat,(20) Texas Christian,56,,Southern Methodist,36,,Amon G. Carter Stadium - Fort Worth Texas
215,4,Sep 16 2017,8:00 PM,Sat,Texas Tech,52,,Arizona State,45,,Jones AT&T Stadium - Lubbock Texas
