name,region
Adair County,5
All Saints,12
Allen Central,15
Allen County-Scottsville,4
Anderson County,8
Apollo,3
Ashland Blazer,16
Atherton,7
Augusta,10
Ballard,7
Ballard Memorial,1
Barbourville,13
Bardstown,5
Barren County,4
Bath County,16
Beechwood,9
Belfry,15
Bell County,13
Bellevue,9
Berea,11
Beth Haven,6
Bethlehem,5
Betsy Layne,15
Bishop Brossart,10
Boone County,9
Bourbon County,10
Bowling Green,4
Boyd County,16
Boyle County,12
Bracken County,10
Breathitt County,14
Breckinridge County,3
Brown,7
Bryan Station,11
Buckhorn,14
Bullitt Central,8
Bullitt East,8
Burgin,12
Butler,6
Butler County,3
Caldwell County,2
Calloway County,1
Campbell County,10
Campbellsville,5
Carlisle County,1
Carroll County,8
Casey County,12
Caverna,5
Cawood,13
Central,6
Central Hardin,5
Christian Academy-Louisville,7
Christian County,2
Christian Fellowship,1
Clay County,13
Clinton County,4
Conner,9
Corbin,13
Cordia,14
Covington Catholic,9
Covington Latin,9
Crittenden County,2
Cumberland,13
Cumberland County,4
Danville,12
Daviess County,3
Dawson Springs,2
Dayton,9
DeSales,6
Deming,10
Dixie Heights,9
Doss,6
DuPont Manual,7
East Carter,16
East Jessamine,11
Eastern,7
Edmonson County,4
Elizabethtown,5
Elkhorn City,15
Elliott County,16
Eminence,8
Estill County,10
Evangel Christian,6
Evarts,13
Fairdale,6
Fairview,16
Feds Creek,15
Fern Creek,7
Fleming County,10
Fleming-Neon,14
Fort Campbell,2
Fort Knox,5
Frankfort,11
Franklin County,11
Franklin-Simpson,4
Frederick Fraize,3
Fulton City,1
Fulton County,1
Gallatin County,8
Garrard County,12
George Rogers Clark,10
Glasgow,4
Grant County,8
Graves County,1
Grayson County,3
Green County,5
Greenup County,16
Greenwood,4
Hancock County,3
Harlan,13
Harrison County,10
Harrodsburg,12
Hart County,5
Hazard,14
Heath,1
Henderson County,2
Henry Clay,11
Henry County,8
Heritage Academy,9
Hickman County,1
Highlands,9
Holmes,9
Holy Cross (Covington),9
Holy Cross (Louisville),6
Hopkins County Central,2
Hopkinsville,2
Iroquois,6
Jackson City,14
Jackson County,13
Jeffersontown,7
Jenkins,14
Johnson Central,15
June Buchanan,14
Kentucky School f/t Deaf,12
Knott County Central,14
Knox Central,13
LaRue County,5
Lafayette,11
Lawrence County,16
Lee County,14
Leslie County,14
Letcher,14
Lewis County,16
Lexington Catholic,11
Lexington Christian,11
Lincoln County,12
Livingston Central,2
Lloyd Memorial,9
Logan County,4
Lone Oak,1
Louisville Collegiate,7
Ludlow,9
Lynn Camp,13
Lyon County,2
Madison Central,11
Madison Southern,11
Madisonville-North Hopkins,2
Magoffin County,15
Male,7
Marion County,5
Marshall County,1
Mason County,10
Mayfield,1
McCreary Central,12
McLean County,3
Meade County,5
Menifee County,16
Mercer County,12
Metcalfe County,4
Middlesboro,13
Millard,15
Millersburg Military,10
Model,11
Monroe County,4
Montgomery County,10
Monticello,12
Moore,7
Morgan County,16
Muhlenberg North,3
Muhlenberg South,3
Murray,1
Nelson County,5
Newport,9
Newport Central Catholic,9
Nicholas County,10
North Bullitt,8
North Hardin,5
North Laurel,12
Ohio County,3
Oldham County,8
Oneida Baptist Institute,13
Owen County,8
Owensboro,3
Owensboro Catholic,3
Owsley County,14
Paducah Tilghman,1
Paintsville,15
Paris,10
Paul Laurence Dunbar,11
Pendleton County,10
Perry County Central,14
Phelps,15
Piarist School,15
Pike County Central,15
Pikeville,15
Pineville,13
Pleasure Ridge Park,6
Portland Christian,6
Powell County,14
Prestonsburg,15
Providence,2
Pulaski County,12
Raceland,16
Red Bird,13
Reidland,1
Riverside Christian,14
Rockcastle County,13
Rose Hill Christian,16
Rowan County,16
Russell,16
Russell County,12
Russellville,4
Ryle,9
Sayre,11
Scott,9
Scott County,8
Seneca,7
Shawnee,6
Shelby County,8
Shelby Valley,15
Sheldon Clark,15
Silver Grove,10
Simon Kenton,9
Somerset,12
South Floyd,15
South Laurel,12
South Oldham,8
Southern,6
Southwestern,12
Spencer County,8
St. Henry,9
St. Mary,1
St. Patrick,10
St. Xavier,7
Tates Creek,11
Taylor County,5
Todd County Central,4
Trigg County,2
Trimble County,8
Trinity (Louisville),7
Trinity (Whitesville),3
Union County,2
University Heights,2
Valley,6
Villa Madonna,9
Waggener,7
Walden,7
Walton-Verona,8
Warren Central,4
Warren East,4
Washington County,5
Wayne County,12
Webster County,2
West Carter,16
West Jessamine,11
Western,6
Western Hills,11
Whitefield Academy,7
Whitesburg,14
Whitley County,13
Williamsburg,13
Williamstown,8
Wolfe County,14
Woodford County,11
Cloverport,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaNSt. Francis,NaNCalvary Christian,NaNKentucky Country Day,NaN
